ubigeo,distrito,provincia,departamento,area_km2,centroid_lon,centroid_lat,n_facilities,n_active,n_emergency,n_primary,n_uncategorised,n_ccpp,dist_km_nearest_any,dist_km_nearest_emergency,facility_density_per100km2
010101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,153.4,-77.856496,-6.247736,36,36,3,16,17,48,1.651,2.159,23.4681
010102,ASUNCION,CHACHAPOYAS,AMAZONAS,34.91,-77.743202,-5.996134,1,1,0,1,0,10,2.758,29.322,2.8645
010103,BALSAS,CHACHAPOYAS,AMAZONAS,318.74,-77.949424,-6.807834,3,3,0,3,0,27,1.279,23.058,0.9412
010104,CHETO,CHACHAPOYAS,AMAZONAS,70.39,-77.677168,-6.29797,1,1,0,1,0,21,5.355,22.211,1.4207
010105,CHILIQUIN,CHACHAPOYAS,AMAZONAS,141.8,-77.75587,-6.078204,4,4,0,4,0,48,2.06,20.844,2.8209
010106,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,184.24,-77.895197,-6.934905,6,6,0,6,0,40,0.887,29.022,3.2566
010107,GRANADA,CHACHAPOYAS,AMAZONAS,171.34,-77.576602,-6.099984,1,1,0,1,0,13,5.691,34.47,0.5836
010108,HUANCAS,CHACHAPOYAS,AMAZONAS,46.27,-77.874975,-6.156137,2,2,0,2,0,8,0.953,8.186,4.3225
010109,LA JALCA,CHACHAPOYAS,AMAZONAS,124.21,-77.784402,-6.503596,9,9,0,9,0,172,4.016,31.521,7.2458
010110,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,563.13,-77.818373,-6.760439,3,3,0,3,0,105,6.204,38.464,0.5327
010111,LEVANTO,CHACHAPOYAS,AMAZONAS,74.93,-77.864554,-6.314299,1,1,0,1,0,33,3.217,9.244,1.3346
010112,MAGDALENA,CHACHAPOYAS,AMAZONAS,135.55,-77.823822,-6.420563,1,1,0,1,0,46,4.464,21.521,0.7377
010113,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,78.93,-77.769997,-6.578907,2,2,0,2,0,79,3.814,38.103,2.5339
010114,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,340.65,-77.607267,-6.212436,4,4,0,4,0,34,6.844,24.78,1.1742
010115,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,122.97,-77.718447,-6.628094,1,1,0,1,0,13,9.227,36.967,0.8132
010116,OLLEROS,CHACHAPOYAS,AMAZONAS,106.88,-77.670989,-6.008407,2,2,0,2,0,15,5.114,32.759,1.8713
010117,QUINJALCA,CHACHAPOYAS,AMAZONAS,82.5,-77.685504,-6.108137,2,2,0,2,0,36,1.946,24.181,2.4242
010118,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,40.44,-77.733576,-6.232237,1,1,0,1,0,17,0.474,14.686,2.4728
010119,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,108.08,-77.822572,-6.35442,1,1,0,1,0,91,6.687,14.51,0.9252
010120,SOLOCO,CHACHAPOYAS,AMAZONAS,74.84,-77.746356,-6.309109,4,4,0,4,0,15,5.507,15.849,5.3447
