ubigeo,distrito,provincia,departamento,n_active,n_emergency,area_km2,dist_km_nearest_emergency,dist_km_nearest_any,fac_score,activity_score,emerg_atenciones,access_score,pct_ccpp_within_15km_any,composite_score,tier
010101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,36,3,153.4,2.159,1.651,95.06242905788876,96.48127128263337,56366.0,60.130533484676505,100.0,77.95119182746879,Best served
010102,ASUNCION,CHACHAPOYAS,AMAZONAS,1,0,34.91,29.322,2.758,70.6583427922815,44.5800227014756,0.0,60.130533484676505,100.0,58.87485811577753,Moderately served
010103,BALSAS,CHACHAPOYAS,AMAZONAS,3,0,318.74,23.058,1.279,35.64131668558456,44.5800227014756,0.0,60.130533484676505,100.0,50.120601589103295,Weakly served
010104,CHETO,CHACHAPOYAS,AMAZONAS,1,0,70.39,22.211,5.355,48.80817253121453,44.5800227014756,0.0,60.130533484676505,100.0,53.41231555051078,Weakly served
010105,CHILIQUIN,CHACHAPOYAS,AMAZONAS,4,0,141.8,20.844,2.06,70.03405221339388,44.5800227014756,0.0,60.130533484676505,100.0,58.718785471055625,Moderately served
010106,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,6,0,184.24,29.022,0.887,73.8933030646992,44.5800227014756,0.0,60.130533484676505,100.0,59.683598183881955,Moderately served
010107,GRANADA,CHACHAPOYAS,AMAZONAS,1,0,171.34,34.47,5.691,23.609534619750285,44.5800227014756,0.0,60.130533484676505,100.0,47.112656072644725,Weakly served
010108,HUANCAS,CHACHAPOYAS,AMAZONAS,2,0,46.27,8.186,0.953,80.36322360953461,44.5800227014756,0.0,60.130533484676505,100.0,61.30107832009081,Best served
010109,LA JALCA,CHACHAPOYAS,AMAZONAS,9,0,124.21,31.521,4.016,88.08172531214528,44.5800227014756,0.0,60.130533484676505,100.0,63.23070374574347,Best served
010110,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,3,0,563.13,38.464,6.204,21.396140749148696,44.5800227014756,0.0,60.130533484676505,100.0,46.55930760499433,Weakly served
010111,LEVANTO,CHACHAPOYAS,AMAZONAS,1,0,74.93,9.244,3.217,46.651532349602725,44.5800227014756,0.0,60.130533484676505,100.0,52.87315550510783,Weakly served
010112,MAGDALENA,CHACHAPOYAS,AMAZONAS,1,0,135.55,21.521,4.464,29.001135073779793,44.5800227014756,0.0,60.130533484676505,100.0,48.460556186152104,Weakly served
010113,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,2,0,78.93,38.103,3.814,66.74233825198638,44.5800227014756,0.0,60.130533484676505,100.0,57.89585698070375,Moderately served
010114,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,4,0,340.65,24.78,6.844,42.56526674233825,44.5800227014756,0.0,60.130533484676505,100.0,51.851589103291715,Weakly served
010115,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,1,0,122.97,36.967,9.227,31.441543700340524,44.5800227014756,0.0,60.130533484676505,100.0,49.070658342792285,Weakly served
010116,OLLEROS,CHACHAPOYAS,AMAZONAS,2,0,106.88,32.759,5.114,57.094211123723035,44.5800227014756,0.0,60.130533484676505,100.0,55.48382519863791,Moderately served
010117,QUINJALCA,CHACHAPOYAS,AMAZONAS,2,0,82.5,24.181,1.946,65.06810442678774,44.5800227014756,0.0,60.130533484676505,100.0,57.47729852440409,Moderately served
010118,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,1,0,40.44,14.686,0.474,65.77752553916004,44.5800227014756,0.0,60.130533484676505,100.0,57.654653802497165,Moderately served
010119,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,1,0,108.08,14.51,6.687,34.96027241770715,44.5800227014756,0.0,60.130533484676505,100.0,49.95034052213394,Weakly served
010120,SOLOCO,CHACHAPOYAS,AMAZONAS,4,0,74.84,15.849,5.507,84.4494892167991,44.5800227014756,0.0,60.130533484676505,100.0,62.322644721906926,Best served
010121,SONCHE,CHACHAPOYAS,AMAZONAS,2,0,120.3,9.824,2.094,53.121452894438136,44.5800227014756,0.0,60.130533484676505,100.0,54.490635641316686,Moderately served
010201,LA PECA,BAGUA,AMAZONAS,18,2,271.81,7.651,1.358,87.23041997729852,93.92735527809307,19623.0,60.130533484676505,100.0,75.35471055618615,Best served
010202,ARAMANGO,BAGUA,AMAZONAS,19,0,821.25,29.537,1.949,63.677639046538026,44.5800227014756,0.0,60.130533484676505,100.0,57.12968217934166,Moderately served
010203,COPALLÍN,BAGUA,AMAZONAS,6,0,99.22,12.643,0.947,85.69807037457434,44.5800227014756,0.0,60.130533484676505,100.0,62.63479001135074,Best served
010204,EL PARCO,BAGUA,AMAZONAS,3,0,18.22,6.571,0.407,93.87060158910329,44.5800227014756,0.0,60.130533484676505,100.0,64.67792281498298,Best served
010205,IMAZA,BAGUA,AMAZONAS,41,0,4597.31,72.547,0.676,34.27922814982974,44.5800227014756,0.0,19.863791146424518,99.33,29.646708286038596,Underserved
010301,JUMBILLA,BONGARA,AMAZONAS,2,0,158.86,31.151,5.493,44.72190692395006,44.5800227014756,0.0,60.130533484676505,100.0,52.39074914869467,Weakly served
010302,CHISQUILLA,BONGARA,AMAZONAS,1,0,162.01,40.282,7.51,24.801362088535754,44.5800227014756,0.0,60.130533484676505,100.0,47.41061293984109,Weakly served
010303,CHURUJA,BONGARA,AMAZONAS,1,0,31.86,25.416,2.809,73.09875141884223,44.5800227014756,0.0,60.130533484676505,100.0,59.48496027241771,Moderately served
010304,COROSHA,BONGARA,AMAZONAS,1,0,64.27,46.089,1.895,51.41884222474461,44.5800227014756,0.0,60.130533484676505,100.0,54.06498297389331,Moderately served
010305,CUISPES,BONGARA,AMAZONAS,2,0,96.6,35.605,6.47,60.499432463110104,44.5800227014756,0.0,60.130533484676505,100.0,56.33513053348468,Moderately served
010306,FLORIDA,BONGARA,AMAZONAS,5,0,222.4,45.997,0.912,62.82633371169126,44.5800227014756,0.0,60.130533484676505,100.0,56.91685584562997,Moderately served
010307,JAZAN,BONGARA,AMAZONAS,8,0,75.89,35.66,5.126,91.03291713961409,44.5800227014756,0.0,60.130533484676505,100.0,63.96850170261067,Best served
010308,RECTA,BONGARA,AMAZONAS,1,0,28.09,33.767,2.865,75.93643586833144,44.5800227014756,0.0,60.130533484676505,100.0,60.19438138479001,Moderately served
010309,SAN CARLOS,BONGARA,AMAZONAS,1,0,112.61,25.873,7.001,34.165720771850175,44.5800227014756,0.0,60.130533484676505,100.0,49.751702610669696,Weakly served
010310,SHIPASBAMBA,BONGARA,AMAZONAS,3,0,125.58,43.177,2.777,64.52894438138479,44.5800227014756,0.0,60.130533484676505,100.0,57.342508513053346,Moderately served
010311,VALERA,BONGARA,AMAZONAS,4,0,78.14,16.539,3.287,83.48467650397275,44.5800227014756,0.0,60.130533484676505,100.0,62.081441543700336,Best served
010312,YAMBRASBAMBA,BONGARA,AMAZONAS,8,0,1682.12,69.2,14.07,19.863791146424518,44.5800227014756,0.0,12.826333711691259,93.22,22.52412031782066,Underserved
010401,NIEVA,CONDORCANQUI,AMAZONAS,30,1,4190.09,28.086,2.482,28.32009080590238,94.94892167990919,27084.0,60.130533484676505,100.0,60.882519863791146,Best served
