ubigeo,index_baseline,tier_baseline,index_alternative,tier_alternative,tier_change,rank_baseline,rank_alternative,rank_shift,distrito,provincia,departamento
010101,90.71131290200529,Best served,77.95119182746879,Best served,False,52,53,-1,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS
010102,53.62277714718123,Moderately served,58.87485811577753,Moderately served,False,726,548,178,ASUNCION,CHACHAPOYAS,AMAZONAS
010103,53.6038592508513,Moderately served,50.120601589103295,Weakly served,True,727,1104,-377,BALSAS,CHACHAPOYAS,AMAZONAS
010104,57.99281119939462,Moderately served,53.41231555051078,Weakly served,True,612,897,-285,CHETO,CHACHAPOYAS,AMAZONAS
010105,65.06810442678774,Moderately served,58.718785471055625,Moderately served,False,447,558,-111,CHILIQUIN,CHACHAPOYAS,AMAZONAS
010106,58.35225122966325,Moderately served,59.683598183881955,Moderately served,False,608,491,117,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS
010107,37.1831252364737,Weakly served,47.112656072644725,Weakly served,False,1218,1264,-46,GRANADA,CHACHAPOYAS,AMAZONAS
010108,68.51116155883466,Best served,61.30107832009081,Best served,False,345,390,-45,HUANCAS,CHACHAPOYAS,AMAZONAS
010109,60.66023458191448,Moderately served,63.23070374574347,Best served,True,544,267,277,LA JALCA,CHACHAPOYAS,AMAZONAS
010110,33.702232311766934,Underserved,46.55930760499433,Weakly served,True,1333,1284,49,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS
010111,57.27393113885736,Moderately served,52.87315550510783,Weakly served,True,631,934,-303,LEVANTO,CHACHAPOYAS,AMAZONAS
010112,51.390465380249715,Moderately served,48.460556186152104,Weakly served,True,786,1198,-412,MAGDALENA,CHACHAPOYAS,AMAZONAS
010113,42.262580401059395,Weakly served,57.89585698070375,Moderately served,True,1065,614,451,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS
010114,55.911842603102535,Moderately served,51.851589103291715,Weakly served,True,661,996,-335,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS
010115,30.495648883844115,Underserved,49.070658342792285,Weakly served,True,1462,1166,296,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS
010116,47.029890276201286,Weakly served,55.48382519863791,Moderately served,True,915,767,148,OLLEROS,CHACHAPOYAS,AMAZONAS
010117,63.41278849791903,Moderately served,57.47729852440409,Moderately served,False,483,639,-156,QUINJALCA,CHACHAPOYAS,AMAZONAS
010118,63.649262202043126,Moderately served,57.654653802497165,Moderately served,False,477,628,-151,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS
010119,53.37684449489217,Moderately served,49.95034052213394,Weakly served,True,736,1116,-380,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS
010120,69.87325009458948,Best served,62.322644721906926,Best served,False,301,323,-22,SOLOCO,CHACHAPOYAS,AMAZONAS
010121,59.43057132046916,Moderately served,54.490635641316686,Moderately served,False,577,829,-252,SONCHE,CHACHAPOYAS,AMAZONAS
010201,87.24933787362845,Best served,75.35471055618615,Best served,False,88,93,-5,LA PECA,BAGUA,AMAZONAS
010202,51.9201664774877,Moderately served,57.12968217934166,Moderately served,False,767,664,103,ARAMANGO,BAGUA,AMAZONAS
010203,70.2894438138479,Best served,62.63479001135074,Best served,False,286,304,-18,COPALLÍN,BAGUA,AMAZONAS
010204,73.01362088535754,Best served,64.67792281498298,Best served,False,185,186,-1,EL PARCO,BAGUA,AMAZONAS
010205,31.44154370034052,Underserved,29.646708286038596,Underserved,False,1423,1449,-26,IMAZA,BAGUA,AMAZONAS
010301,41.903140370790766,Weakly served,52.39074914869467,Weakly served,False,1077,965,112,JUMBILLA,BONGARA,AMAZONAS
010302,28.282255013242526,Underserved,47.41061293984109,Weakly served,True,1525,1250,275,CHISQUILLA,BONGARA,AMAZONAS
010303,66.08967082860386,Best served,59.48496027241771,Moderately served,True,414,504,-90,CHURUJA,BONGARA,AMAZONAS
010304,37.15474839197881,Weakly served,54.06498297389331,Moderately served,True,1220,856,364,COROSHA,BONGARA,AMAZONAS
010305,40.181611804767314,Weakly served,56.33513053348468,Moderately served,True,1143,714,429,CUISPES,BONGARA,AMAZONAS
010306,40.95724555429436,Weakly served,56.91685584562997,Moderately served,True,1119,677,442,FLORIDA,BONGARA,AMAZONAS
010307,50.35944003026863,Moderately served,63.96850170261067,Best served,True,810,224,586,JAZAN,BONGARA,AMAZONAS
010308,45.32727960650776,Weakly served,60.19438138479001,Moderately served,True,970,459,511,RECTA,BONGARA,AMAZONAS
010309,41.609912977676885,Weakly served,49.751702610669696,Weakly served,False,1086,1124,-38,SAN CARLOS,BONGARA,AMAZONAS
010310,41.5247824441922,Weakly served,57.342508513053346,Moderately served,True,1090,650,440,SHIPASBAMBA,BONGARA,AMAZONAS
010311,69.5516458569807,Best served,62.081441543700336,Best served,False,311,337,-26,VALERA,BONGARA,AMAZONAS
010312,26.636398032538782,Underserved,22.52412031782066,Underserved,False,1563,1532,31,YAMBRASBAMBA,BONGARA,AMAZONAS
010401,57.35906167234204,Moderately served,60.882519863791146,Best served,True,626,417,209,NIEVA,CONDORCANQUI,AMAZONAS
